File Name,Clip Directory,Duration TC,Frame Rate,Audio Sample Rate,Audio Channels,Resolution,Codec,Start TC,End TC,Start Frame,End Frame,Frames,Bit Depth,Audio Bit Depth,Data Level,Audio Channels2,Date Modified,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:03:08,24.000,48000,2,1920 x 1080,Cineform HD,00:07:49:03,00:07:52:11,11259,11338,80,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:11:02,24.000,48000,2,1920 x 1080,Cineform HD,00:07:52:11,00:08:03:13,11339,11604,266,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:07:17,24.000,48000,2,1920 x 1080,Cineform HD,00:08:03:13,00:08:11:06,11605,11789,185,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:09:14,24.000,48000,2,1920 x 1080,Cineform HD,00:08:11:06,00:08:20:20,11790,12019,230,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:17:06,24.000,48000,2,1920 x 1080,Cineform HD,00:08:20:20,00:08:38:02,12020,12433,414,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:01:06,24.000,48000,2,1920 x 1080,Cineform HD,00:08:38:02,00:08:39:08,12434,12463,30,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:04:18,24.000,48000,2,1920 x 1080,Cineform HD,00:08:39:08,00:08:44:02,12464,12577,114,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:04:07,24.000,48000,2,1920 x 1080,Cineform HD,00:08:44:02,00:08:48:09,12578,12680,103,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:04:01,24.000,48000,2,1920 x 1080,Cineform HD,00:08:48:09,00:08:52:10,12681,12777,97,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:02:15,24.000,48000,2,1920 x 1080,Cineform HD,00:08:52:10,00:08:55:01,12778,12840,63,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:04:21,24.000,48000,2,1920 x 1080,Cineform HD,00:08:55:01,00:08:59:22,12841,12957,117,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:08:21,24.000,48000,2,1920 x 1080,Cineform HD,00:08:59:22,00:09:08:19,12958,13170,213,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:03:14,24.000,48000,2,1920 x 1080,Cineform HD,00:09:08:19,00:09:12:09,13171,13256,86,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:05:12,24.000,48000,2,1920 x 1080,Cineform HD,00:09:12:09,00:09:17:21,13257,13388,132,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:07:23,24.000,48000,2,1920 x 1080,Cineform HD,00:09:17:21,00:09:25:20,13389,13579,191,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:05:12,24.000,48000,2,1920 x 1080,Cineform HD,00:09:25:20,00:09:31:08,13580,13711,132,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
THE_FLORIDA_PROJECT.mov,Y:\Films_converted,00:00:34:15,24.000,48000,2,1920 x 1080,Cineform HD,00:09:31:08,00:10:05:23,13712,14542,831,10,16,Auto,2,Sun Jul 22 17:43:28 2018,
