File Name,Clip Directory,Duration TC,Frame Rate,Audio Sample Rate,Audio Channels,Resolution,Codec,Start TC,End TC,Start Frame,End Frame,Frames,Bit Depth,Audio Bit Depth,Data Level,Audio Channels,Date Modified
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:04:03,23.976,48000,2,1920 x 1080,Cineform HD,00:12:30:05,00:12:34:08,18005,18103,99,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:01:15,23.976,48000,2,1920 x 1080,Cineform HD,00:12:34:08,00:12:35:23,18104,18142,39,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:02:02,23.976,48000,2,1920 x 1080,Cineform HD,00:12:35:23,00:12:38:01,18143,18192,50,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:13:18,23.976,48000,2,1920 x 1080,Cineform HD,00:12:38:01,00:12:51:19,18193,18522,330,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:02:11,23.976,48000,2,1920 x 1080,Cineform HD,00:12:51:19,00:12:54:06,18523,18581,59,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:02:21,23.976,48000,2,1920 x 1080,Cineform HD,00:12:54:06,00:12:57:03,18582,18650,69,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:05:07,23.976,48000,2,1920 x 1080,Cineform HD,00:12:57:03,00:13:02:10,18651,18777,127,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:03:10,23.976,48000,2,1920 x 1080,Cineform HD,00:13:02:10,00:13:05:20,18778,18859,82,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:01:15,23.976,48000,2,1920 x 1080,Cineform HD,00:13:05:20,00:13:07:11,18860,18898,39,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:03:00,23.976,48000,2,1920 x 1080,Cineform HD,00:13:07:11,00:13:10:11,18899,18970,72,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:01:12,23.976,48000,2,1920 x 1080,Cineform HD,00:13:10:11,00:13:11:23,18971,19006,36,10,16,Auto,2,Fri Jul 20 23:08:27 2018
Call_Me_By_Your_Name.mov,Y:\Films_converted,00:00:01:15,23.976,48000,2,1920 x 1080,Cineform HD,00:13:11:23,00:13:13:14,19007,19045,39,10,16,Auto,2,Fri Jul 20 23:08:27 2018
